rank,name,date,score
1,camp2025_shou,2025-11-24 11:24:07,1.0781283
2,camp2025_daichi,2025-11-24 11:22:42,1.2163496
3,camp2025_daiki,2025-11-24 11:00:25,1.3240047
4,camp2025_ito,2025-11-24 11:20:43,1.3568264
5,camp2025_murao,2025-11-24 11:19:29,1.3582217
6,camp2025_inagaki,2025-11-24 11:20:28,1.6161911
7,misiro,2025-11-24 10:59:54,1.6597824
8,camp_2025_inomoto,2025-11-24 07:46:21,1.7556041
9,camp2025_Ashitani,2025-11-24 11:11:41,1.9154836
10,camp2025_daigo,2025-11-24 10:52:33,1.9400213
11,camp2025_yamamoto,2025-11-24 11:10:05,2.0053494
